js@mymail.com,P@ssw0rd!,JoaoSilva,Anything
ms@mymail.com,P@ssw0rd!,ManelCosta,Anything
xf@mymail.com,P@ssw0rd!,XicoFerreira,Anything
tc@mymail.com,P@ssw0rd!,TiagoCancado,Anything
udu@mymail.com,P@ssw0rd!,UrbinoUrzes,Anything
ze@mymail.com,P@ssw0rd!,ZeEsquina,Anything
nel.m@mymail.com,P@ssw0rd!,NelMoleiro,Flexible
zb@mymail.com,P@ssw0rd!,ZeBento,Flexible
to.f@mymail.com,P@ssw0rd!,ToFarrulo,Flexible
tdc@mymail.com,P@ssw0rd!,TinoCruzes,Not so flexible
qb@mymail.com,P@ssw0rd!,QuimBarreiros,Anything
tg@mymail.com,P@ssw0rd!,TiagoGeringonca,Anything
zm@mymail.com,P@ssw0rd!,ZeManel,Anything
as@mymail.com,P@ssw0rd!,AntonioSilva,Anything
